Code,Name,Old Location,New Location,Coming Stock,Stock
BLACK_DECKER_4AH_TR4261,I-01-04_4.0Ah,I-01-04,,Black,and
BIKE_MJ35-1,Z-05-01_KK123_Exercise,Z-05-01,,nan,20
COIL_SPRING_TR4255,I-01-03_KK123_A2_2Pc,I-01-03,,Compressor,nan
DOUBLE_TOWEL_WARMER_TR4003,Z-03-01_KK123_towel,Z-03-01,,double,door
120PCS_WATERCOLOR,E-03-04_KK123_A2_120,E-03-04,,Tip,Marker
DESK_L_BLACK_TR1053,Z-07-01_KK123_L,Z-07-01,,Home,Office
DOOR_LOCK_AZ,"J-07-01_Intelligent Door Lock, Electronic Anti-Theft Keyless 1374",J-07-01,,20,0
DOPPLER_PINK,J-01-04_Fetal,J-01-04,,nan,20
6.5HP_ENGINE,Z-05-01_KK123_New,Z-05-01,,4,Stroke
DRAWING_PAD,C-01-04_KK123_KR_A2_,C-01-04,,Box,Tracing
3T_JACK,Z-01-01_KK123_3,Z-01-01,,Duty,Low
DESK_FOOTREST,Z-04-01_KK123_SR_Adjustable,Z-04-01,,Footrest,nan
DOG_TRAINER_TR4087,"E-02-04_Dog Training Collar with Beep, Vibration",E-02-04,,10,1
SUNSHADE_GREY_3X6M,D-03-03_KK123_A2_Shade,D-03-03,,nan,nan
DOG_PANEL_100CM,Z-04-01_KK123_Dog,Z-04-01,,Dog,Fence
SP1_35MASSAGE_TABLE_81,Z-08-01_KK123_3,Z-08-01,,Aluminium,Massage
SP2_20_MAKITA_4.0AH_69,"I-02-02_Replacement Makita 18V 4.0ah Battery, Makita Battery 18v",I-02-02,,50,1
FLOWER_WHITE_TR1179,O-01-01_KK123_Iron,O-01-01,,Green,Plant
INVERTER_2000W_LED,L-01-02_A2_KME-2000W,L-01-02,,Inverters,Anti-reverse
HK02-4_BLUE,Z-06-01_KK123_Outdoor,Z-06-01,,Up,Tent
AUG176-9_CHAIR_GREY,Z-06-01_KK123_Office,Z-06-01,,0.11,16
WOOD_FLOWER_RACK_TR1161,P-02-03_KK123_6-Tier,P-02-03,,Wooden,Plant
SP1_26MOTORBIKE_STAND95,Q-03-01_KK123_Motorcycle,Q-03-01,,nan,nan
AUG176-9_CHAIR_RED,Z-02-01_KK123_Gaming,Z-02-01,,Adults/Swivel,Computer
MASSAGE_TABLE_WOOD_CUSION,Z-02-01_KK123_Portable,Z-02-01,,Massage,Table
DEAR_KALIMBA,D-01-03_Piano,D-01-03,,nan,15
SP1_35MASSAGETABLE_BURGANDY59,Z-05-01_KK123_Massage,Z-05-01,,nan,8
DOG_PANEL_80CM,Z-04-01_KK123_Foldable,Z-04-01,,Play,Yard
ADJ_DUMBBELLS_40KG,Z-05-01_KK123_ADJUSTABLE,Z-05-01,,nan,nan
SP1_31DUMBBELLS_30KG31,Q-02-01_KK123_Adjustable,Q-02-01,,nan,nan
SAM_FILTERDA29-00020B,C-02-03_samsung,C-02-03,,29-00020B,nan
SMART_GARDEN_WHITE,L-01-02_KK123_SR_Hydroponic,L-01-02,,nan,nan
LOAD_RESISTER_2PCS,I-01-02_12V,I-01-02,,INDICATOR,LOAD
SP2_37_COFFEE_TABLE_41,Z-08-01_KK123_Coffee,Z-08-01,,13,nan
SP2_46_DRAIN_PIPE15M_50,I-01-05_KK123_Drain/Pipe,I-01-05,,for,Pressure
OFFICE_CHAIR_TR1074,Q-04-04_KK123_Office,Q-04-04,,nan,10
STEERING_LOCK_BLACK,"I-03-04_KK123_KR_A2_Car Lock, Car Steering Wheel Lock 4830",I-03-04,,10,5
BIKE_TRAINER_TR4136,Q-01-03_KK123_Bike,Q-01-03,,Gear,Control
ROOF_RACK_C11-1,R-05-01_KK123_Universal,R-05-01,,cm,Double
BLIGEPUMP_12V_1100,J-02-02_Bilge,J-02-02,,1100gph,nan
SP1_18USB_CASSETTE_78,J-03-03_USB,J-03-03,,nan,30
SP1_35BED_TABLE_14,P-03-03_KK123_SR_Bedside,P-03-03,,Cabinet,nan
SP1_35_ELECTRIC_MOTOR_36,Z-06-01_KK123_SINGLE,Z-06-01,,MOTOR,3.0HP
SPIN_BIKE_JU113-3,Z-06-01_KK123_Exercise,Z-06-01,,0.127,22
SP2_11_PASLLODE_7.2V_41,I-01-03_Paslode,I-01-03,,2.0Ah,nan
SAUSAGE_MAKER_8P,K-04-01_KK123_Sausage,K-04-01,,Pound,nan
GOLF_NET_GREEN_3M,B-04-01_KK123_Golf,B-04-01,,Golf,nets
SP2_38_PROJECTOR_51,F-02-04_projector,F-02-04,,plug,nan
ACRYLIC_PEN_36COL,E-01-04_Water,E-01-04,,36COL,nan
DESK_XSHAPE_BLACK,Z-08-01_KK123_Computer,Z-08-01,,nan,8
HOLDER_FLUID_BLACK,E-02-01_Tripod,E-02-01,,Tripod+Phone,Holder
LAPTOP_DESK_BROWN_TR4116,K-03-03_KK123_SR_Laptop,K-03-03,,Table,nan
PIANO_STOOL,F-01-01_KK123_Keyboard,F-01-01,,Stool,nan
SUSPENSION_TRAINER,E-03-04_suspension,E-03-04,,nan,10
SP2_29_BIRD_CAGE_57,R-03-01_KK123_Bird,R-03-01,,Cages,nan
STEERING_LOCK_TR4236,I-03-01_KK123_A2_Steering,I-03-01,,Yellow,nan
SP2_37_COFFEE_TABLE_40,Q-05-02_KK123_Coffee,Q-05-02,,11,nan
BAMBOO_1.40M_TR1211,Q-02-04_KK123_4739,Q-02-04,,1.60m,wide
CAR_JUMPER,D-03-04_KK123_A2_SR_Jumper,D-03-04,,Duty,Booster
TELE_LADDER_4.7M,Z-06-01_KK123_LADDERS,Z-06-01,,Ladders,4.7m
CHECKEN_FEEDER_10KG,P-04-03_KK123_SR_Chicken,P-04-03,,10kg,nan
DYSON_RACK,M-03-02_Dyson,M-03-02,,nan,10
BUG_ZAPPER_40W,N-01-01_KK123_40W,N-01-01,,Killer,Lamp
TOILET_TENT_BLUE,K-02-04_KK123_SR_Camping,K-02-04,,Toilet,Tent
ROOMBA_BAT_4500MAH,I-02-02_14.4V,I-02-02,,Battery,Compatible
SP2_20_WATER_IRRIGATOR_50,H-01-05_Water,H-01-05,,With,LCD
TV_STAND,O-06-05_KK123_TV,O-06-05,,15kg,nan
TOILET_TENT_GREEN,K-02-01_KK123_SR_Camping,K-02-01,,Toilet,Tent
WARDROBE_ORGANISER_GREY,A-01-02_KK123_Wardrobe,A-01-02,,nan,nan
INTERCOM_1200M,I-01-04_Intercom,I-01-04,,Hands-free,Inter
DIESEL_PUMP_BLUE,O-04-03_KK123_Fuel,O-04-03,,nan,nan
SP2_7_PASLODE_2000MAH_99,L-09-02_Paslode,L-09-02,,nan,nan
TOILET_TENT_ORANGE,K-02-03_KK123_SR_Camping,K-02-03,,Toilet,Tent
CAR_TRASH_CAN,I-03-04_Car,I-03-04,,nan,nan
SP2_28_HARNESS_12,J-04-03_Resistance,J-04-03,,nan,20
TOWEL_WARMER,Z-06-01_KK123_Towel,Z-06-01,,nan,nan
BUG_ZAPPER_30W,N-06-01_KK123_30W,N-06-01,,Killer,Lamp
SP2_26_BIKE_STAND_13,M-03-01_KK123_SR_Bike,M-03-01,,nan,20
SP2_30_RESISRTANT_BAND_61,H-06-03_Set,H-06-03,,Resistance,Bands
SP2_11_NUTRIBULLET_900W_76,G-04-01_Nutribullet,G-04-01,,Cross,Knife
SP1_14_CHIKEN_FEEDER_40,O-01-03_KK123_Automatic,O-01-03,,Self,Open
SP2_HP_CHARGER_22,H-01-03_Blue,H-01-03,,Laptop,Charger
PS4_BLACKWHITE_TR4268,H-03-04_PS4,H-03-04,,New,nan
OFFICE_CHAIR_BLACK,Z-05-01_KK123_Adjustable,Z-05-01,new_location,Chair,0.077
